지역,사업부,현장명,주소,lat,lon
경기,인프라,경기지역전력구공사(신가평-동서울 1차),수직구#2: 경기도 하남시 창우동 51-2,,
경남,인프라,거제 2단계수리시스템보완공사(경남) ,"경남 거제시 일운면 서이말길97
(한국석유공사 거제지사 내)",34.8213979,128.6942233
경기,인프라,광명5R대로 3-24호선 현충지하차도도로공사(경기)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"경기도 광명시 철산2동 153번지 일원
(CU광명스타즈점 -광명시 광이로95) 바로 위에 보이는 현장",37.4828243,126.8675294
경북,인프라,500kVHVDC동해안~신가평송전선로건설공사,경상북도 봉화군 석포면 반야길 475-1,37.05031,129.0904434
경기,인프라,경기서북부전력인입공사,"경기도 파주시 와동동 1469-1, 프라임타워 1006호",37.7598955,126.7801502
부산,인프라,만덕~센텀 도시고속화도로 ITS(부산),부산광역시 충렬대로 180-10(대이빌딩 5층),35.2019046,129.0834284
서울,인프라,신림봉천터널도로공사(2공구),,,
충남,인프라,천안테크노파크일반산업단지(충남),충청남도 천안시 서북구 직산읍 삼은리 산11-1,36.8783935,127.1552727
전북,인프라,새만금전주간고속도로건설공사(제1공구),김제시 지평선로 1255,35.8178035,126.7808958
경기,인프라,인덕원~동탄 복선전철 제2공구 노반신설 기타공사,"경기도 안양시 동안구 흥안대로 313 (102정거장)
경기도 안양시 동안구 흥안대로 125 (103정거장)",37.3925519,126.9522677
부산,인프라,부산(만덕~센텀)지하도로(부산),부산시 동래구,35.2052,129.0837
충북,인프라,청주하이테크밸리일반산업단지(충북),충북 청주시 흥덕구 강내면 태성리 산10-31,36.6289831,127.375766
경기,인프라,신분당선 광교~호매실 복선전철 제2공구,경기도 수원시 팔달구 수성로204,37.2881653,127.0334758
경남,인프라,부산항 신항 서컨테이너터미널(2-6단계),"경상남도 창원시 진해구 연도동 일원
연도동393번지(동원글로벌터미널부산)",35.1319,128.7103
전남,인프라,여수천연가스발전소건설대비취배수관로공사(전남),전남 여수시 묘도동 2016 일원,34.88324,127.71907
충남,플랜트,Aurora Project(충남),"충남 서산시 대산읍 독곶1로 81 
(네비: 서문앞식당 맞은편)",36.9611,126.40906
전남,플랜트,동북아LNGHub터미널1단계1차EPCC(전남),전남 여수시 묘도동 2016 일원,34.88324,127.71907
부산,플랜트,수출용신형연구로건설공사(부산),부산시 기장군 장안읍 좌동리 288-7,35.3275305,129.2580045
경기,플랜트,송산그린시티도시물순환조성공사,,,
경남,플랜트,"울산시성암소각장1,2호기재건립사업(T/K) ",울산광역시 남구 처용로 524,35.469747,129.3663142
충남,플랜트,대산임해산업지역공업용수도(SWRO)건설공사,충청남도 서산시 대산읍 평신1로 325,36.9611,126.40906
대구,플랜트,성서자원회수시설개체사업(T/K)(대구),대구시 달서구 성서공단로 257번지,35.835924,128.5254476
경기,플랜트,성남시폐기물에너지화민간투자사업(BTO)(경기),경기도 성남시 중원구 둔촌대로 567 (상대원동),37.4292737,127.135739
